idwine	name	link	thumb	average_rating	ratings	price	tasteKeywords_1	tasteMentions_1	flavorGroup_1	tasteKeywords_2	tasteMentions_2	flavorGroup_2	tasteKeywords_3	tasteMentions_3	flavorGroup_3	tasteKeywords_4	tasteMentions_4	flavorGroup_4	moyenne_price	tasteKeywords_5	tasteMentions_5	flavorGroup_5	tasteKeywords_6	tasteMentions_6	flavorGroup_6	tasteKeywords_7	tasteMentions_7	flavorGroup_7	tasteKeywords_8	tasteMentions_8	flavorGroup_8	tasteKeywords_9	tasteMentions_9	flavorGroup_9	tasteKeywords_10	tasteMentions_10	flavorGroup_10
111468	Ruinart Blanc de Blancs Brut Champagne	https://www.vivino.com/US-VA/fr/wines/164942595	https://images.vivino.com/thumbs/dsrC9WNFQMW92k1ctpXVFA_pb_300x300.png	4,4		116,73	pomme verte, pomme, pêc...	1831	fruit d'arbre fruitier	agrume, citron, citron ...	1584	agrume	brioche, pain grillé, b...	1474	Vieillissement																						
111466	Louis Jadot Bourgogne Chardonnay	https://www.vivino.com/US-VA/fr/wines/1469197	https://images.vivino.com/thumbs/Ym49EmguQyCsnDLXWa-ouA_pb_300x300.png	3,9		19,99	chêne, beurre, vanille	2160	boisé	pomme, pomme verte, poi...	1575	fruit d'arbre fruitier	agrume, citron, pamplem...	1226	agrume																						
111469	Château Lafon-Rochet Saint-Estèphe (Grand Cru Classé)	https://www.vivino.com/wines/3468976	https://images.vivino.com/thumbs/e6-mvrRsRUmbJBro3h5FHA_pb_300x300.png	4,1			cassis, mûre, prune	1635	fruit noir	chêne, tabac, cèdre	1483	boisé	cuir, Terreux, fumée	1339	Terreux				56,9																		
111467	Domaine du Vieux Télégraphe Châteauneuf-du-Pape (La Crau)	https://www.vivino.com/US-NY/fr/wines/1495318	https://images.vivino.com/thumbs/HWS_S99uQfey2mkoAxqRrg_pb_300x300.png	4,3		129,13	cuir, Terreux, fumée	1749	Terreux	tabac, chêne, vanille	1329	boisé	cerise, fruit rouge, fr...	1227	fruit rouge	prune, mûre, fruit noir	1187	fruit noir		poivre, réglisse, canne...	959	épices															
111472	Château Grand-Puy-Lacoste Pauillac (Grand Cru Classé)	https://www.vivino.com/BR/fr/wines/1683575	https://images.vivino.com/thumbs/auhSHa-oSo2t97PddvhhKA_pb_300x300.png	4,3		1,392	tabac, chêne, cèdre	2361	boisé	cassis, mûre, cassis	2159	fruit noir	cuir, Terreux, fumée	1974	Terreux																						
111477	Château Fombrauge Saint-Émilion Grand Cru (Grand Cru Classé)	https://www.vivino.com/wines/148603391	https://images.vivino.com/thumbs/C2C3HL4ZRJeO2mZSoDAVaw_pb_300x300.png	4,1			mûre, prune, cassis	1225	fruit noir	chêne, vanille, chocola...	1169	boisé	cuir, Terreux, fumée	694	Terreux				27,28																		
111475	Château Figeac Saint-Émilion Grand Cru (Premier Grand Cru Classé)	https://www.vivino.com/wines/1953783	https://images.vivino.com/thumbs/HFH3Ek2GR8-b4NyFNRlEYQ_pb_300x300.png	4,4			tabac, chêne, cèdre	1681	boisé	cuir, Terreux, fumée	1429	Terreux	prune, mûre, cassis	1342	fruit noir				182,39																		
111470	G.H. Mumm (Cordon Rouge) Brut Champagne	https://www.vivino.com/US-VA/fr/wines/1469170	https://images.vivino.com/thumbs/s2Ml6K9aT3a4lE3wuGKuiw_pb_300x300.png	3,9		58,99	pomme verte, pomme, poi...	1674	fruit d'arbre fruitier	agrume, citron, pamplem...	1326	agrume	pain grillé, brioche, b...	1063	Vieillissement																						
111471	Trimbach Riesling Alsace	https://www.vivino.com/US-VA/fr/wines/1516614	https://images.vivino.com/thumbs/G8qy3u1eTGGc7l1Pv23azg_pb_300x300.png	3,7		24,29	agrume, citron, citron ...	2301	agrume	pomme verte, pomme, poi...	2034	fruit d'arbre fruitier	minéraux, pétrole, miel	1819	Terreux																						
111474	Château Potensac Médoc	https://www.vivino.com/GB/fr/wines/1646870	https://images.vivino.com/thumbs/GkrFEovWQamDCjtQAlZQ4A_pb_300x300.png	3,9		29,99	tabac, chêne, cèdre	1139	boisé	cassis, cassis, mûre	1125	fruit noir	cuir, Terreux, fumée	854	Terreux																						
